HORA;DIA;SALA;ACTIVIDAD;FOTO1;AFINIDAD;URL;;;;
19:50;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
19:55;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
20:00;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
20:05;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
20:10;18;SonarVillage by ESTRELLA DAMM;J.E.T.S. (US);imgs/artist/jets_file.png;2;http://sonar.es/es/2015/prg/ar/j.e.t.s._520;;;;
20:15;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:20;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:25;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:30;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:35;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:40;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:45;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:50;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
20:55;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:00;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:05;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:10;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:15;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:20;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:25;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:30;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:35;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:40;18;SonarVillage by ESTRELLA DAMM;Felix Dickinson (UK);imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:45;18;SonarVillage by ESTRELLA DAMM;No Activity;imgs/artist/felix_file.png;;http://sonar.es/es/2015/prg/ar/felix-dickinson_483;;;;
21:50;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
21:55;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:00;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:05;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:10;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:15;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:20;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:25;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:30;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:35;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:40;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:45;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:50;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
22:55;18;SonarVillage by ESTRELLA DAMM;Hot Chip (UK);imgs/artist/hot_chip_files.png;1;http://sonar.es/es/2015/prg/ar/hot-chip_445;;;;
23:00;18;SonarVillage by ESTRELLA DAMM;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es/2015;;;;
12:00;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:05;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:10;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:15;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:20;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:25;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:30;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:35;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:40;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:45;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:50;18;SonarDome by Red BULL Music Academy;Christian Kroupa (SI);imgs/artist/kroupa_file-png;;http://sonar.es/es/2015/prg/ar/_563;;;;
12:55;18;SonarDome by Red BULL Music Academy;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es/2015;;;;
13:00;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:05;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:10;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
13:15;18;SonarDome by Red BULL Music Academy;NV(RU);imgs/artist/NV_files.png;;http://sonar.es/es/2015/prg/ar/nv_537;;;;
