HORA;DIA;SALA;ACTIVIDAD;FOTO;AFINIDAD;URL;;;
14:15;18;Escenario+D by Mazda Rebeis;Jim Kolmar: Programador SXSW(US);imgs/artist/jim_kolmar.png;;http://sonarplusd.com/es/activity/4371/;;;
14:30;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
14:45;18;Escenario+D by Mazda Rebeis;Start up competition prizes;imgs/artist/startup_competition.png;;http://sonarplusd.com/es/51-companies-are-registered-for-the-start-up-competition-by-ricoh-the-selection-process-begins/;;;
15:00;18;Escenario+D by Mazda Rebeis;Start up competition prizes;imgs/artist/startup_competition.png;;http://sonarplusd.com/es/51-companies-are-registered-for-the-start-up-competition-by-ricoh-the-selection-process-begins/;;;
15:15;18;Escenario+D by Mazda Rebeis;Start up competition prizes;imgs/artist/startup_competition.png;;http://sonarplusd.com/es/51-companies-are-registered-for-the-start-up-competition-by-ricoh-the-selection-process-begins/;;;
15:30;18;Escenario+D by Mazda Rebeis;Start up competition prizes;imgs/artist/startup_competition.png;;http://sonarplusd.com/es/51-companies-are-registered-for-the-start-up-competition-by-ricoh-the-selection-process-begins/;;;
15:45;18;Escenario+D by Mazda Rebeis;Start up competition prizes;imgs/artist/startup_competition.png;;http://sonarplusd.com/es/51-companies-are-registered-for-the-start-up-competition-by-ricoh-the-selection-process-begins/;;;
16:00;18;Escenario+D by Mazda Rebeis;Start up competition prizes;imgs/artist/startup_competition.png;;http://sonarplusd.com/es/51-companies-are-registered-for-the-start-up-competition-by-ricoh-the-selection-process-begins/;;;
16:15;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
16:30;18;Escenario+D by Mazda Rebeis;The importance of Play Makers Nation (CA) Christina Hug /founder;imgs/artist/play_importancstartup_competition.png;;http://sonarplusd.com/es/activity/la-importancia-del-juego/;;;
16:45;18;Escenario+D by Mazda Rebeis;The importance of Play Makers Nation (CA) Christina Hug /founder;imgs/artist/play_importancstartup_competition.png;;http://sonarplusd.com/es/activity/la-importancia-del-juego/;;;
17:00;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
17:15;18;Escenario+D by Mazda Rebeis;No Activity;imgs/artist/no_activity.png;;http://sonar.es/es;;;
17:30;18;Escenario+D by Mazda Rebeis;Monument Valley behind the scenes Us Two(UK) Dan Gray/Executive producer;;;http://sonarplusd.com/es/activity/monument-valley-behind-the-scenes/;;;
